the B-NP
outlook I-NP
for B-PP
imports B-NP
, O
given B-PP
continued B-NP
high I-NP
consumer I-NP
and I-NP
capital I-NP
goods I-NP
inflows I-NP
. O

He B-NP
reckons B-VP
the B-NP
current I-NP
account I-NP
deficit I-NP
will B-VP
narrow I-VP
to B-PP
only B-NP
# I-NP
1.8 I-NP
billion I-NP
in B-PP
September B-NP
. O

However B-ADVP
, O
Mr. B-NP
Dillow I-NP
said B-VP
he B-NP
believes B-VP
that B-SBAR
a B-NP
reduction I-NP
in B-PP
raw B-NP
material I-NP
stockbuilding I-NP
by B-PP
industry B-NP
could B-VP
lead I-VP
to B-PP
a B-NP
sharp I-NP
drop I-NP
in B-PP
imports B-NP
. O

Combined B-PP
with B-PP
at B-ADVP
least I-ADVP
some B-NP
rebound I-NP
in B-PP
exports B-NP
after B-PP
August B-NP
's B-NP
unexpected I-NP
decline I-NP
, O
the B-NP
deficit I-NP
could B-VP
narrow I-VP
to B-PP
as B-NP
little I-NP
as I-NP
# I-NP
1.3 I-NP
billion I-NP
. O

Mr. B-NP
Briscoe I-NP
, O
who B-NP
also B-ADVP
forecasts B-VP
a B-NP
# I-NP
1.3 I-NP
billion I-NP
current I-NP
account I-NP
gap I-NP
, O
warns B-VP
that B-SBAR
even B-SBAR
if I-SBAR
the B-NP
trade I-NP
figures I-NP
are B-VP
bullish B-ADJP
for B-PP
sterling B-NP
, O
the B-NP
currency I-NP
wo B-VP
n't I-VP
advance I-VP
much B-NP
because B-SBAR
investors B-NP
will B-VP
want I-VP
to I-VP
see I-VP
further B-NP
evidence I-NP
of B-PP
the B-NP
turnaround I-NP
before B-PP
adjusting B-VP
positions B-NP
. O

Nevertheless B-ADVP
, O
he B-NP
noted B-VP
, O
`` O
No B-NP
one I-NP
will B-VP
want I-VP
to I-VP
go I-VP
into B-PP
the B-NP
trade I-NP
figures I-NP
without B-PP
a B-NP
flat I-NP
position I-NP
'' O
in B-PP
the B-NP
pound I-NP
. O

Meanwhile B-ADVP
, O
overall B-NP
evidence I-NP
on B-PP
the B-NP
economy I-NP
remains B-VP
fairly B-ADJP
clouded I-ADJP
. O

In B-PP
his B-NP
Mansion I-NP
House I-NP
speech I-NP
, O
Mr. B-NP
Lawson I-NP
warned B-VP
that B-SBAR
a B-NP
further I-NP
slowdown I-NP
can B-VP
be I-VP
expected I-VP
as B-SBAR
the B-NP
impact I-NP
of B-PP
the B-NP
last I-NP
rise I-NP
in B-PP
interest B-NP
rates I-NP
earlier B-NP
this I-NP
month I-NP
takes B-VP
effect B-NP
. O

U.K. B-NP
base I-NP
rates I-NP
are B-VP
at B-PP
their B-NP
highest I-NP
level I-NP
in B-PP
eight B-NP
years I-NP
. O

But O
consumer B-NP
expenditure I-NP
data I-NP
released B-VP
Friday B-NP
do B-VP
n't I-VP
suggest I-VP
that B-SBAR
the B-NP
U.K. I-NP
economy I-NP
is B-VP
slowing I-VP
that B-ADVP
quickly I-ADVP
. O

The B-NP
figures I-NP
show B-VP
that O
spending B-NP
rose B-VP
0.1 B-NP
% I-NP
in B-PP
the B-NP
third I-NP
quarter I-NP
from B-PP
the B-NP
second I-NP
quarter I-NP
and O
was B-VP
up B-ADVP
3.8 B-NP
% I-NP
from B-PP
a B-NP
year I-NP
ago B-ADVP
. O

This B-NP
compares B-VP
with B-PP
a B-NP
1.6 I-NP
% I-NP
rise I-NP
in B-PP
the B-NP
second I-NP
from B-PP
the B-NP
first I-NP
quarter I-NP
and O
a B-NP
5.4 I-NP
% I-NP
increase I-NP
from B-PP
the B-NP
second I-NP
quarter I-NP
of B-PP
1988 B-NP
. O

Mr. B-NP
Dillow I-NP
said B-VP
the B-NP
data I-NP
show B-VP
the B-NP
economy I-NP
`` O
is B-VP
still B-ADVP
quite B-ADJP
strong I-ADJP
, O
'' O
but O
suggestions B-NP
that B-SBAR
much B-NP
of B-PP
the B-NP
spending I-NP
went B-VP
on B-PP
services B-NP
rather B-PP
than I-PP
consumer B-NP
goods I-NP
should B-VP
reduce I-VP
fears B-NP
of B-PP
more B-NP
import I-NP
rises I-NP
. O

Certainly B-ADVP
, O
the B-NP
chancellor I-NP
has B-VP
made I-VP
it B-NP
clear B-ADJP
that B-SBAR
he B-NP
is B-VP
prepared I-VP
to I-VP
increase I-VP
interest B-NP
rates I-NP
again B-ADVP
if B-SBAR
necessary B-ADJP
to B-VP
both I-VP
ensure I-VP
that B-SBAR
a B-NP
substantial I-NP
slowdown I-NP
does B-VP
take I-VP
place B-NP
and O
that O
sterling B-NP
does B-VP
n't I-VP
decline I-VP
further B-ADVP
. O

Thursday B-NP
, O
he B-NP
reminded B-VP
his B-NP
audience I-NP
that B-SBAR
the B-NP
government I-NP
`` O
can B-VP
not I-VP
allow I-VP
the B-NP
necessary I-NP
rigor I-NP
of B-PP
monetary B-NP
policy I-NP
to B-VP
be I-VP
undermined I-VP
by B-PP
exchange B-NP
rate I-NP
weakness I-NP
. O
'' O

Analysts B-NP
agree B-VP
there B-NP
is B-VP
little B-NP
holding B-VP
sterling B-NP
firm B-ADJP
at B-PP
the B-NP
moment I-NP
other B-ADJP
than B-PP
Mr. B-NP
Lawson I-NP
's B-NP
promise I-NP
that B-SBAR
rates B-NP
will B-VP
be I-VP
pushed I-VP
higher B-ADJP
if B-SBAR
necessary B-ADJP
. O

And O
, O
they B-NP
warn B-VP
, O
any B-NP
further I-NP
drop I-NP
in B-PP
the B-NP
government I-NP
's B-NP
popularity I-NP
could B-VP
swiftly I-VP
make I-VP
this B-NP
promise I-NP
sound B-VP
hollow B-ADJP
. O

Sterling B-NP
was B-VP
already I-VP
showing I-VP
some B-NP
signs I-NP
of B-PP
a B-NP
lack I-NP
of B-PP
confidence B-NP
in B-PP
Mr. B-NP
Lawson I-NP
's B-NP
promise I-NP
Friday B-NP
. O

In B-PP
European B-NP
trading I-NP
it B-NP
declined B-VP
to B-PP
$ B-NP
1.5890 I-NP
and O
2.9495 B-NP
marks I-NP
from B-PP
$ B-NP
1.5940 I-NP
and O
2.9429 B-NP
marks I-NP
late B-NP
Thursday I-NP
. O

Economists B-NP
suggested B-VP
that B-SBAR
if B-SBAR
the B-NP
pound I-NP
falls B-VP
much B-NP
below B-PP
2.90 B-NP
marks I-NP
, O
the B-NP
government I-NP
will B-VP
be I-VP
forced I-VP
to I-VP
increase I-VP
rates B-NP
to B-PP
16 B-NP
% I-NP
, O
both B-VP
to I-VP
halt B-VP
any B-NP
further I-NP
decline I-NP
and O
ensure B-VP
that B-SBAR
the B-NP
balance I-NP
of B-PP
monetary B-NP
policy I-NP
remains B-VP
unchanged B-ADJP
. O

Friday B-NP
's B-NP
Market I-NP
Activity I-NP

The B-NP
dollar I-NP
posted B-VP
gains B-NP
in B-PP
quiet B-NP
trading I-NP
as B-SBAR
concerns B-NP
about B-PP
equities B-NP
abated B-VP
. O

Foreign B-NP
exchange I-NP
dealers I-NP
said B-VP
that B-SBAR
the B-NP
currency I-NP
market I-NP
has B-VP
begun I-VP
to I-VP
distance I-VP
itself B-NP
from B-PP
the B-NP
volatile I-NP
stock I-NP
exchange I-NP
, O
which B-NP
has B-VP
preoccupied I-VP
the B-NP
market I-NP
since B-PP
Oct. B-NP
13 I-NP
, O
when B-ADVP
the B-NP
Dow I-NP
Jones I-NP
Industrial I-NP
Average I-NP
plunged B-VP
more B-NP
than I-NP
190 I-NP
points I-NP
. O

Currency B-NP
analysts I-NP
predict B-VP
that B-SBAR
in B-PP
the B-NP
coming I-NP
week I-NP
the B-NP
foreign I-NP
exchange I-NP
market I-NP
will B-VP
shift I-VP
its B-NP
focus I-NP
back B-ADVP
to B-PP
economic B-NP
fundamentals I-NP
, O
keeping B-VP
a B-NP
close I-NP
eye I-NP
out B-ADVP
for B-PP
any B-NP
signs I-NP
of B-PP
monetary B-NP
easing I-NP
by B-PP
U.S. B-NP
Federal I-NP
Reserve I-NP
. O

Late B-ADVP
in B-PP
the B-NP
New I-NP
York I-NP
trading I-NP
day I-NP
, O
the B-NP
dollar I-NP
was B-VP
quoted I-VP
at B-PP
1.8578 B-NP
marks I-NP
, O
up B-ADVP
from B-PP
1.8470 B-NP
marks I-NP
late B-NP
Thursday I-NP
in B-PP
New B-NP
York I-NP
. O

The B-NP
U.S. I-NP
currency I-NP
was B-VP
also I-VP
changing I-VP
hands B-NP
at B-PP
142.43 B-NP
yen I-NP
, O
up B-ADVP
from B-PP
141.70 B-NP
yen I-NP
in B-PP
New B-NP
York I-NP
late B-NP
Thursday I-NP
. O

In B-PP
Tokyo B-NP
on B-PP
Monday B-NP
, O
the B-NP
U.S. I-NP
currency I-NP
opened B-VP
for B-PP
trading B-NP
at B-PP
141.95 B-NP
yen I-NP
, O
up B-ADVP
from B-PP
Friday B-NP
's B-NP
Tokyo I-NP
close I-NP
of B-PP
141.35 B-NP
yen I-NP
. O

On B-PP
the B-NP
Commodity I-NP
Exchange I-NP
in B-PP
New B-NP
York I-NP
, O
gold B-NP
for B-PP
current B-NP
delivery I-NP
settled B-VP
at B-PP
$ B-NP
367.30 I-NP
an B-NP
ounce I-NP
, O
up B-ADVP
20 B-NP
cents I-NP
. O

Estimated B-NP
volume I-NP
was B-VP
a B-NP
light I-NP
2.4 I-NP
million I-NP
ounces I-NP
. O

In B-PP
early B-NP
trading I-NP
in B-PP
Hong B-NP
Kong I-NP
Monday B-NP
, O
gold B-NP
was B-VP
quoted I-VP
at B-PP
$ B-NP
366.50 I-NP
an B-NP
ounce I-NP
. O

East B-NP
Rock I-NP
Partners I-NP
Limited I-NP
Partnership I-NP
said B-VP
it B-NP
proposed B-VP
to I-VP
acquire I-VP
A.P. B-NP
Green I-NP
Industries I-NP
Inc. I-NP
for B-PP
$ B-NP
40 I-NP
a B-NP
share I-NP
. O

In B-PP
an B-NP
Oct. I-NP
19 I-NP
letter I-NP
to B-PP
A.P. B-NP
Green I-NP
's B-NP
board I-NP
, O
East B-NP
Rock I-NP
said B-VP
the B-NP
offer I-NP
is B-VP
subject B-ADJP
to B-PP
the B-NP
signing I-NP
of B-PP
a B-NP
merger I-NP
agreement I-NP
by B-PP
no B-ADVP
later I-ADVP
than B-PP
Oct. B-NP
31 I-NP
. O

The B-NP
letter I-NP
, O
attached B-VP
to B-PP
a B-NP
filing I-NP
with B-PP
the B-NP
Securities I-NP
and I-NP
Exchange I-NP
Commission I-NP
, O
said B-VP
the B-NP
approval I-NP
is B-VP
also B-ADVP
contingent B-ADJP
upon B-PP
obtaining B-VP
satisfactory B-NP
financing I-NP
. O

An B-NP
A.P. I-NP
Green I-NP
official I-NP
declined B-VP
to I-VP
comment I-VP
on B-PP
the B-NP
filing I-NP
. O

The B-NP
$ I-NP
40-a-share I-NP
proposal I-NP
values B-VP
the B-NP
company I-NP
at B-PP
about B-NP
$ I-NP
106.6 I-NP
million I-NP
. O

A.P. B-NP
Green I-NP
currently B-ADVP
has B-VP
2,664,098 B-NP
shares I-NP
outstanding B-ADJP
. O

Its B-NP
stock I-NP
closed B-VP
at B-PP
$ B-NP
38 I-NP
, O
up B-ADVP
$ B-NP
1.875 I-NP
, O
in B-PP
national B-NP
over-the-counter I-NP
trading I-NP
. O

The B-NP
company I-NP
is B-VP
a B-NP
Mexico I-NP
, I-NP
Mo. I-NP
, I-NP
maker I-NP
of B-PP
refractory B-NP
products I-NP
. O

East B-NP
Rock I-NP
also B-ADVP
said B-VP
in B-PP
the B-NP
filing I-NP
that B-SBAR
it B-NP
boosted B-VP
its B-NP
stake I-NP
in B-PP
A.P. B-NP
Green I-NP
to B-PP
8.7 B-NP
% I-NP
. O

It B-NP
now B-ADVP
holds B-VP
233,000 B-NP
A.P. I-NP
Green I-NP
common I-NP
shares I-NP
, O
including B-PP
30,000 B-NP
shares I-NP
bought B-VP
last B-NP
Thursday I-NP
for B-PP
$ B-NP
35.50 I-NP
to I-NP
$ I-NP
36.50 I-NP
a B-NP
share I-NP
. O

New B-NP
York-based I-NP
John I-NP
Kuhns I-NP
and I-NP
Robert I-NP
MacDonald I-NP
control B-VP
East B-NP
Rock I-NP
Partners I-NP
Inc. I-NP
, O
the B-NP
sole I-NP
general I-NP
partner I-NP
of B-PP
East B-NP
Rock I-NP
Partners I-NP
L.P I-NP
. O

The B-NP
sole I-NP
limited I-NP
partner I-NP
of B-PP
the B-NP
partnership I-NP
is B-VP
Westwood B-NP
Brick I-NP
Lime I-NP
Inc. I-NP
, O
an B-NP
indirect I-NP
subsidiary I-NP
of B-PP
Westwood B-NP
Group I-NP
Inc I-NP
. O

Both B-NP
Westwood B-NP
Brick I-NP
and O
Westwood B-NP
Group I-NP
are B-VP
based I-VP
in B-PP
Boston B-NP
. O

Freight B-NP
rates I-NP
, O
declining B-VP
for B-PP
most B-NP
of B-PP
the B-NP
decade I-NP
because B-PP
of I-PP
competition B-NP
spurred B-VP
by B-PP
deregulation B-NP
, O
are B-VP
bottoming I-VP
out B-PRT
, O
turning B-VP
upward B-ADVP
and O
threatening B-VP
to I-VP
fuel I-VP
inflation B-NP
. O

Trucking B-NP
, I-NP
shipping I-NP
and I-NP
air-freight I-NP
companies I-NP
have B-VP
announced I-VP
rate B-NP
increases I-NP
, O
scheduled B-VP
for B-PP
this B-NP
fall I-NP
or O
early B-NP
next I-NP
year I-NP
, O
reflecting B-VP
higher B-NP
costs I-NP
and O
tightened B-NP
demand I-NP
for B-PP
freight B-NP
transport I-NP
. O

Major B-NP
shippers I-NP
say B-VP
they B-NP
expect B-VP
freight B-NP
rates I-NP
to B-VP
rise I-VP
at B-ADVP
least I-ADVP
as B-ADVP
fast I-ADVP
as B-PP
inflation B-NP
and B-ADVP
maybe I-ADVP
faster B-ADVP
in B-PP
the B-NP
next I-NP
few I-NP
years I-NP
. O

That B-NP
's B-VP
a B-NP
big I-NP
change I-NP
from B-PP
recent B-NP
years I-NP
when B-ADVP
freight B-NP
haulage I-NP
was B-VP
a B-NP
bright I-NP
spot I-NP
for B-PP
U.S. B-NP
productivity I-NP
, O
helping B-VP
to I-VP
restrain I-VP
inflation B-NP
and O
make B-VP
U.S. B-NP
industry I-NP
more B-ADJP
competitive I-ADJP
abroad B-ADVP
. O

`` O
Demand B-NP
has B-VP
caught I-VP
up B-PRT
with B-PP
the B-NP
supply I-NP
of B-PP
certain B-NP
types I-NP
of B-PP
freight B-NP
transportation I-NP
, O
and O
rates B-NP
are B-VP
starting I-VP
to I-VP
move I-VP
up B-ADVP
'' O
at B-PP
a B-NP
rate I-NP
`` O
close B-ADJP
to B-PP
or O
slightly B-ADJP
more I-ADJP
than B-PP
the B-NP
inflation I-NP
rate I-NP
, O
'' O
said B-VP
Clifford B-NP
Sayre I-NP
, O
director B-NP
of B-PP
logistics B-NP
at B-PP
Du B-NP
Pont I-NP
Co I-NP
. O

Shippers B-NP
surveyed B-VP
recently B-ADVP
by B-PP
Ohio B-NP
State I-NP
University I-NP
said B-VP
they B-NP
expect B-VP
their B-NP
freight-transport I-NP
, I-NP
storage I-NP
and I-NP
distribution I-NP
costs I-NP
to B-VP
rise I-VP
about B-NP
4 I-NP
% I-NP
this B-NP
year I-NP
. O

Only B-NP
10 I-NP
% I-NP
of B-PP
the B-NP
250 I-NP
shippers I-NP
polled B-VP
expected B-VP
their B-NP
freight-transport I-NP
costs I-NP
to B-VP
decrease I-VP
, O
compared B-PP
with B-PP
30 B-NP
% I-NP
who B-NP
had B-VP
looked I-VP
to B-PP
freight B-NP
transport I-NP
to B-VP
reduce I-VP
costs B-NP
in B-PP
past B-NP
years I-NP
. O

`` O
This B-NP
is B-VP
the B-NP
first I-NP
year I-NP
since B-PP
transportation B-NP
deregulation I-NP
in B-PP
1980 B-NP
that B-ADVP
we B-NP
have B-VP
had I-VP
such B-NP
a I-NP
dramatic I-NP
and I-NP
broad-based I-NP
upturn I-NP
in B-PP
perceived B-NP
transportation I-NP
rates I-NP
, O
'' O
said B-VP
Bernard B-NP
LaLonde I-NP
, O
a B-NP
transportation I-NP
logistics I-NP
professor I-NP
at B-PP
Ohio B-NP
State I-NP
in B-PP
Columbus B-NP
. O

The B-NP
deregulation I-NP
of B-PP
railroads B-NP
and I-NP
trucking I-NP
companies I-NP
that B-NP
began B-VP
in B-PP
1980 B-NP
enabled B-VP
shippers B-NP
to B-VP
bargain I-VP
for B-PP
transportation B-NP
. O

Carriers B-NP
could B-VP
use I-VP
their B-NP
equipment I-NP
more B-ADVP
efficiently I-ADVP
, O
leading B-VP
to B-PP
overcapacity B-NP
they B-NP
were B-VP
eager B-ADJP
to B-VP
fill I-VP
. O

Shippers B-NP
cut B-VP
about B-NP
$ I-NP
35 I-NP
billion I-NP
from B-PP
their B-NP
annual I-NP
, I-NP
inter-city I-NP
truck I-NP
and I-NP
rail I-NP
costs I-NP
, O
to B-PP
about B-NP
$ I-NP
150 I-NP
billion I-NP
, O
or O
about B-NP
6.4 I-NP
% I-NP
of B-PP
gross B-NP
national I-NP
product I-NP
, O
down B-ADVP
from B-PP
8 B-NP
% I-NP
of B-PP
GNP B-NP
in B-PP
1981 B-NP
. O

But O
with B-PP
much B-NP
of B-PP
the B-NP
inefficiency I-NP
squeezed B-VP
out B-PP
of B-PP
the B-NP
freight-transport I-NP
system I-NP
, O
rising B-NP
costs I-NP
are B-VP
likely B-ADJP
to B-VP
be I-VP
reflected I-VP
directly B-ADVP
in B-PP
higher B-NP
freight I-NP
rates I-NP
. O

`` O
Shippers B-NP
are B-VP
saying I-VP
` O
the B-NP
party I-NP
's B-VP
over B-ADJP
, O
' O
'' O
said B-VP
Mr. B-NP
LaLonde I-NP
. O

`` O
Shippers B-NP
wo B-VP
n't I-VP
be I-VP
able B-ADJP
to B-VP
look I-VP
for B-PP
transportation-cost B-NP
savings I-NP
as B-SBAR
they B-NP
have B-VP
for B-PP
the B-NP
last I-NP
eight I-NP
or I-NP
nine I-NP
years I-NP
. O

Transport B-NP
rates I-NP
wo B-VP
n't I-VP
be I-VP
an B-NP
opportunity I-NP
for B-PP
offsetting B-VP
cost B-NP
increases I-NP
in B-PP
other B-NP
segments I-NP
of B-PP
the B-NP
economy I-NP
. O
'' O

Robert B-NP
Delaney I-NP
, O
a B-NP
consultant I-NP
at B-PP
Arthur B-NP
D. I-NP
Little I-NP
Inc. I-NP
, O
Cambridge B-NP
, O
Mass. B-NP
, O
said B-VP
`` O
We B-NP
've B-VP
gotten I-VP
all B-NP
the I-NP
benefits I-NP
of B-PP
deregulation B-NP
in B-PP
freight-cost B-NP
reductions I-NP
. O

Now B-ADVP
we B-NP
are B-VP
starting I-VP
to I-VP
see I-VP
real B-NP
freight-rate I-NP
increases I-NP
as B-SBAR
carriers B-NP
replace B-VP
equipment B-NP
, O
pay B-VP
higher B-NP
fuel I-NP
costs I-NP
and O
pay B-VP
more B-NP
for B-PP
labor B-NP
. O

You B-NP
'll B-VP
see I-VP
carriers B-NP
try B-VP
to I-VP
recoup I-VP
some B-NP
of B-PP
the B-NP
price I-NP
cutting I-NP
that B-NP
occurred B-VP
previously B-ADVP
. O
'' O

Not B-NP
everyone I-NP
believes B-VP
that B-SBAR
the B-NP
good I-NP
times I-NP
are B-VP
over B-ADJP
for B-PP
shippers B-NP
. O

`` O
There B-NP
's B-VP
still B-ADVP
a B-NP
lot I-NP
of B-PP
pressure B-NP
on B-PP
rates B-NP
in B-PP
both B-NP
rail I-NP
and I-NP
truck I-NP
, O
'' O
said B-VP
Gerard B-NP
McCullough I-NP
, O
lecturer B-NP
in B-PP
transportation B-NP
at B-PP
Massachusetts B-NP
Institute I-NP
of B-PP
Technology B-NP
. O

Less-than-truckload B-NP
companies I-NP
, O
which B-NP
carry B-VP
the B-NP
freight I-NP
of B-PP
several B-NP
shippers I-NP
in B-PP
each B-NP
truck I-NP
trailer I-NP
, O
discounted B-VP
away B-ADVP
a B-NP
4.7 I-NP
% I-NP
rate I-NP
increase I-NP
implemented B-VP
last B-NP
April I-NP
. O

The B-NP
carriers I-NP
were B-VP
competing I-VP
fiercely B-ADVP
for B-PP
market B-NP
share I-NP
. O

Railroad-rate B-NP
increases I-NP
are B-VP
likely B-ADJP
to B-VP
be I-VP
restrained I-VP
by B-PP
weakening B-NP
rail-traffic I-NP
levels I-NP
and O
keen B-NP
competition I-NP
for B-PP
freight B-NP
from B-PP
trucks B-NP
. O

An B-NP
official I-NP
at B-PP
Consolidated B-NP
Freightways I-NP
Inc. I-NP
, O
a B-NP
Menlo I-NP
Park I-NP
, I-NP
Calif. I-NP
, I-NP
less-than-truckload I-NP
carrier I-NP
, O
said B-VP
rate B-NP
discounting I-NP
in B-PP
that B-NP
industry I-NP
has B-VP
begun I-VP
to I-VP
`` O
stabilize B-VP
. O
'' O

Consolidated B-NP
Freightways I-NP
plans B-VP
to I-VP
raise I-VP
its B-NP
rates I-NP
5.3 B-NP
% I-NP
late B-NP
this I-NP
year I-NP
or O
early B-NP
next I-NP
year I-NP
, O
and O
at B-NP
least I-NP
two I-NP
competitors I-NP
have B-VP
announced I-VP
similar B-NP
increases I-NP
. O

